x: 135.23, y: 104.24, r: 0.45, g: 0.62, b: 0.81
x: 133.23, y: 104.24, r: 0.45, g: 0.62, b: 0.81
x: 131.23, y: 103.24, r: 0.45, g: 0.62, b: 0.81
x: 128.22, y: 103.24, r: 0.45, g: 0.62, b: 0.81
x: 125.22, y: 101.24, r: 0.45, g: 0.62, b: 0.81
x: 124.22, y: 100.24, r: 0.45, g: 0.62, b: 0.81
x: 123.22, y: 98.23, r: 0.45, g: 0.62, b: 0.81
x: 120.22, y: 96.23, r: 0.45, g: 0.62, b: 0.81
x: 116.22, y: 93.24, r: 0.45, g: 0.62, b: 0.81
x: 94.23, y: 78.23, r: 0.45, g: 0.62, b: 0.81
x: 83.22, y: 71.24, r: 0.45, g: 0.62, b: 0.81
x: 74.22, y: 65.23, r: 0.45, g: 0.62, b: 0.81
x: 63.23, y: 57.24, r: 0.45, g: 0.62, b: 0.81
x: 59.23, y: 56.23, r: 0.45, g: 0.62, b: 0.81
x: 53.23, y: 56.23, r: 0.45, g: 0.62, b: 0.81
x: 51.23, y: 57.24, r: 0.45, g: 0.62, b: 0.81
x: 49.23, y: 58.23, r: 0.45, g: 0.62, b: 0.81
x: 47.23, y: 61.24, r: 0.45, g: 0.62, b: 0.81
x: 45.23, y: 63.24, r: 0.45, g: 0.62, b: 0.81
x: 44.23, y: 65.23, r: 0.45, g: 0.62, b: 0.81
x: 44.23, y: 66.24, r: 0.45, g: 0.62, b: 0.81
x: 43.23, y: 68.24, r: 0.45, g: 0.62, b: 0.81
x: 41.22, y: 71.24, r: 0.45, g: 0.62, b: 0.81
x: 39.22, y: 74.24, r: 0.45, g: 0.62, b: 0.81
x: 38.22, y: 77.24, r: 0.45, g: 0.62, b: 0.81
x: 37.22, y: 79.24, r: 0.45, g: 0.62, b: 0.81
x: 36.22, y: 80.24, r: 0.45, g: 0.62, b: 0.81
x: 36.22, y: 83.24, r: 0.45, g: 0.62, b: 0.81
x: 36.22, y: 84.24, r: 0.45, g: 0.62, b: 0.81
x: 36.22, y: 85.23, r: 0.45, g: 0.62, b: 0.81
x: 37.22, y: 90.24, r: 0.45, g: 0.62, b: 0.81
x: 39.22, y: 94.23, r: 0.45, g: 0.62, b: 0.81
x: 44.23, y: 102.24, r: 0.45, g: 0.62, b: 0.81
x: 48.23, y: 107.23, r: 0.45, g: 0.62, b: 0.81
x: 52.23, y: 111.24, r: 0.45, g: 0.62, b: 0.81
x: 63.23, y: 124.24, r: 0.45, g: 0.62, b: 0.81
x: 68.22, y: 132.24, r: 0.45, g: 0.62, b: 0.81
x: 78.22, y: 148.24, r: 0.45, g: 0.62, b: 0.81
x: 81.22, y: 155.24, r: 0.45, g: 0.62, b: 0.81
x: 84.22, y: 160.23, r: 0.45, g: 0.62, b: 0.81
x: 90.23, y: 168.24, r: 0.45, g: 0.62, b: 0.81
x: 93.23, y: 173.24, r: 0.45, g: 0.62, b: 0.81
x: 99.23, y: 179.24, r: 0.45, g: 0.62, b: 0.81
x: 101.23, y: 181.23, r: 0.45, g: 0.62, b: 0.81
x: 104.23, y: 183.23, r: 0.45, g: 0.62, b: 0.81
x: 106.21, y: 185.23, r: 0.45, g: 0.62, b: 0.81
x: 107.21, y: 185.23, r: 0.45, g: 0.62, b: 0.81
x: 107.21, y: 186.24, r: 0.45, g: 0.62, b: 0.81
x: 108.21, y: 186.24, r: 0.45, g: 0.62, b: 0.81
x: 131.23, y: 101.24, r: 0.45, g: 0.62, b: 0.81
x: 132.23, y: 99.24, r: 0.45, g: 0.62, b: 0.81
x: 137.23, y: 94.23, r: 0.45, g: 0.62, b: 0.81
x: 140.23, y: 90.24, r: 0.45, g: 0.62, b: 0.81
x: 142.23, y: 86.24, r: 0.45, g: 0.62, b: 0.81
x: 150.21, y: 76.23, r: 0.45, g: 0.62, b: 0.81
x: 154.22, y: 72.24, r: 0.45, g: 0.62, b: 0.81
x: 162.22, y: 66.24, r: 0.45, g: 0.62, b: 0.81
x: 165.22, y: 63.24, r: 0.45, g: 0.62, b: 0.81
x: 170.22, y: 62.24, r: 0.45, g: 0.62, b: 0.81
x: 178.23, y: 62.24, r: 0.45, g: 0.62, b: 0.81
x: 183.23, y: 62.24, r: 0.45, g: 0.62, b: 0.81
x: 194.21, y: 65.23, r: 0.45, g: 0.62, b: 0.81
x: 198.22, y: 67.23, r: 0.45, g: 0.62, b: 0.81
x: 202.22, y: 69.24, r: 0.45, g: 0.62, b: 0.81
x: 208.22, y: 73.24, r: 0.45, g: 0.62, b: 0.81
x: 210.22, y: 75.24, r: 0.45, g: 0.62, b: 0.81
x: 211.22, y: 79.24, r: 0.45, g: 0.62, b: 0.81
x: 211.22, y: 81.24, r: 0.45, g: 0.62, b: 0.81
x: 210.22, y: 84.24, r: 0.45, g: 0.62, b: 0.81
x: 209.22, y: 85.23, r: 0.45, g: 0.62, b: 0.81
x: 207.22, y: 90.24, r: 0.45, g: 0.62, b: 0.81
x: 206.22, y: 92.24, r: 0.45, g: 0.62, b: 0.81
x: 205.22, y: 95.24, r: 0.45, g: 0.62, b: 0.81
x: 204.22, y: 101.24, r: 0.45, g: 0.62, b: 0.81
x: 204.22, y: 104.24, r: 0.45, g: 0.62, b: 0.81
x: 203.22, y: 109.23, r: 0.45, g: 0.62, b: 0.81
x: 201.22, y: 112.24, r: 0.45, g: 0.62, b: 0.81
x: 200.22, y: 116.23, r: 0.45, g: 0.62, b: 0.81
x: 196.21, y: 124.24, r: 0.45, g: 0.62, b: 0.81
x: 191.21, y: 130.24, r: 0.45, g: 0.62, b: 0.81
x: 187.23, y: 135.24, r: 0.45, g: 0.62, b: 0.81
x: 177.23, y: 143.23, r: 0.45, g: 0.62, b: 0.81
x: 173.22, y: 146.24, r: 0.45, g: 0.62, b: 0.81
x: 167.22, y: 149.23, r: 0.45, g: 0.62, b: 0.81
x: 160.22, y: 152.23, r: 0.45, g: 0.62, b: 0.81
x: 157.22, y: 154.23, r: 0.45, g: 0.62, b: 0.81
x: 153.21, y: 156.23, r: 0.45, g: 0.62, b: 0.81
x: 151.21, y: 158.23, r: 0.45, g: 0.62, b: 0.81
x: 146.23, y: 162.24, r: 0.45, g: 0.62, b: 0.81
x: 143.23, y: 164.24, r: 0.45, g: 0.62, b: 0.81
x: 140.23, y: 166.24, r: 0.45, g: 0.62, b: 0.81
x: 132.23, y: 172.23, r: 0.45, g: 0.62, b: 0.81
x: 128.22, y: 174.23, r: 0.45, g: 0.62, b: 0.81
x: 125.22, y: 176.23, r: 0.45, g: 0.62, b: 0.81
x: 121.22, y: 178.23, r: 0.45, g: 0.62, b: 0.81
x: 119.22, y: 179.24, r: 0.45, g: 0.62, b: 0.81
x: 117.22, y: 180.23, r: 0.45, g: 0.62, b: 0.81
x: 115.22, y: 180.23, r: 0.45, g: 0.62, b: 0.81
x: 114.22, y: 181.23, r: 0.45, g: 0.62, b: 0.81
x: 113.22, y: 182.24, r: 0.45, g: 0.62, b: 0.81
x: 112.22, y: 182.24, r: 0.45, g: 0.62, b: 0.81
x: 111.22, y: 183.23, r: 0.45, g: 0.62, b: 0.81
x: 110.22, y: 183.23, r: 0.45, g: 0.62, b: 0.81
x: 108.21, y: 185.23, r: 0.45, g: 0.62, b: 0.81
x: 107.21, y: 186.24, r: 0.45, g: 0.62, b: 0.81
x: 105.21, y: 187.23, r: 0.45, g: 0.62, b: 0.81
x: 212.22, y: 193.24, r: 0.45, g: 0.62, b: 0.81
x: 212.22, y: 192.23, r: 0.45, g: 0.62, b: 0.81
x: 212.22, y: 191.23, r: 0.45, g: 0.62, b: 0.81
x: 211.22, y: 190.23, r: 0.45, g: 0.62, b: 0.81
x: 211.22, y: 189.23, r: 0.45, g: 0.62, b: 0.81
x: 211.22, y: 188.24, r: 0.45, g: 0.62, b: 0.81
x: 211.22, y: 185.23, r: 0.45, g: 0.62, b: 0.81
x: 211.22, y: 184.24, r: 0.45, g: 0.62, b: 0.81
x: 211.22, y: 183.23, r: 0.45, g: 0.62, b: 0.81
x: 211.22, y: 182.24, r: 0.45, g: 0.62, b: 0.81
x: 210.22, y: 181.23, r: 0.45, g: 0.62, b: 0.81
x: 209.22, y: 181.23, r: 0.45, g: 0.62, b: 0.81
